County,State,Age.Percent 65 and Older,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Hispanic or Latino,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Households,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Percent Female,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,county_names_with_casing,county_fips,total_votes_2020,total_votes_2016,total_votes_2012,total_votes_2008,total_votes_2004,total_votes_2000,prop_favored_dem_2020,prop_favored_dem_2016,prop_favored_dem_2012,prop_favored_dem_2008,prop_favored_dem_2004,prop_favored_dem_2000,winner_2020
DIVIDE COUNTY,ND,25.4,18.5,93.3,2.9,93.4,90.9,1061,2.1,62865,40184,2.7,1260.79,2.1,89.5,47.7,2195,2071,1.6,262,76,144,0,241,0,223,Divide County,38023.0,1202,1219,1162,1131,1268,794,-0.5316139767054908,-0.5102543068088596,-0.2994836488812392,-0.1467727674624226,-0.2082018927444794,-0.172544080604534,Republican
DIXIE COUNTY,FL,23.7,10.4,78.4,4.2,87.3,83.6,6504,2.31,39828,21144,2.8,705.05,4.2,85.9,44.9,16759,16422,23.3,820,335,414,64,738,101,694,Dixie County,12029.0,8167,7202,6941,7264,6442,4666,-0.6604628382515,-0.6320466537073035,-0.468808529030399,-0.4500275330396476,-0.3840422229121391,-0.1866695242177453,Republican
DIXON COUNTY,NE,20.7,21.2,87.9,14.7,96.3,82.9,2352,2.4,56905,27634,6.9,476.23,11.1,88.6,49.1,5606,6000,12.6,677,209,348,0,658,74,545,Dixon County,31051.0,3083,2782,2686,2794,3009,2792,-0.5462212131041193,-0.5337886412652768,-0.3257632166790766,-0.3002863278453829,-0.3622465935526753,-0.3631805157593122,Republican
DODDRIDGE COUNTY,WV,21.8,17.1,82.0,0.7,95.5,94.9,2685,2.89,45545,24053,0.8,319.72,0.8,84.2,44.3,7808,8202,25.7,265,78,92,0,240,0,196,Doddridge County,54017.0,3101,2840,2769,3018,3179,2816,-0.7042889390519187,-0.7028169014084507,-0.5615745756590828,-0.4913850231941682,-0.4913494809688581,-0.4197443181818182,Republican
DODGE COUNTY,GA,18.6,14.3,85.6,3.6,66.9,64.5,7628,2.46,39302,20216,1.6,495.89,3.2,87.9,47.9,19925,21796,44.0,1789,546,904,488,1257,185,1403,Dodge County,13091.0,8070,7009,7733,8212,6995,5877,-0.4550185873605947,-0.4539877300613497,-0.3584637268847795,-0.3589868485143692,-0.3145103645461043,-0.1949974476773864,Republican
DODGE COUNTY,MN,15.2,25.7,94.9,4.9,96.4,91.9,7756,2.65,74575,34399,3.0,439.28,5.6,87.3,50.0,20867,20087,45.7,1770,525,926,0,1714,284,1319,Dodge County,27039.0,12187,10654,10327,10213,9868,8050,-0.3039304176581603,-0.3214755021588135,-0.1002227171492205,-0.09840399490845,-0.1495743818402918,-0.1047204968944099,Republican
DODGE COUNTY,NE,19.4,19.0,88.9,14.1,94.2,82.3,15261,2.33,54085,28019,6.9,528.71,12.0,84.6,50.2,37167,36691,69.4,2825,889,1340,95,2588,218,2298,Dodge County,31053.0,16876,15529,14950,15550,16172,14472,-0.322351268073003,-0.3470281408976753,-0.2222073578595317,-0.120128617363344,-0.3379915904031659,-0.2660309563294638,Republican
DODGE COUNTY,WI,18.2,17.0,90.8,5.0,94.2,89.6,34980,2.39,60652,29726,2.2,875.63,4.7,87.3,47.2,89396,88759,101.4,5684,1291,3502,125,5324,532,4780,Dodge County,55027.0,48436,43065,44488,42823,44336,37701,-0.3096663638615905,-0.2943225357018461,-0.1449604387700054,-0.0894846227494571,-0.2370759653554673,-0.1884300151189624,Republican
DOLORES COUNTY,CO,26.2,24.1,93.8,6.3,93.6,87.8,759,2.45,45972,26323,1.2,1067.05,2.7,90.9,47.5,2326,2064,1.9,206,64,98,0,199,0,193,Dolores County,8033.0,1449,1255,1245,1217,1146,1134,-0.5162180814354727,-0.5593625498007968,-0.4216867469879518,-0.3689400164338537,-0.3944153577661431,-0.3950617283950617,Republican
DONA ANA COUNTY,NM,16.2,27.1,79.4,68.8,91.8,26.7,77842,2.7,40973,22154,17.2,3807.51,51.3,85.9,51.0,219561,209233,55.0,16298,6265,7992,9101,6358,1369,14077,Dona Ana County,35013.0,82641,70648,66423,69280,61960,46653,0.1833835505378686,0.1779668214245272,0.147795191424657,0.1762990762124711,0.0357327307940606,0.0567809144106488,Democrat
DONIPHAN COUNTY,KS,19.8,21.1,90.3,2.8,92.6,90.2,3046,2.28,49703,25775,0.8,393.41,1.9,84.2,49.5,7510,7945,20.2,471,155,199,27,412,0,401,Doniphan County,20043.0,3709,3378,3403,3564,3603,3649,-0.6174170935562147,-0.5976909413854352,-0.4443138407287687,-0.3526936026936026,-0.3957812933666389,-0.3332419841052342,Republican
DONLEY COUNTY,TX,24.5,17.9,88.7,11.3,90.7,80.0,1335,2.27,42961,25534,2.6,926.89,5.5,85.3,50.8,3258,3677,4.0,330,97,199,66,236,57,262,Donley County,48129.0,1648,1465,1535,1690,1784,1719,-0.7524271844660194,-0.70580204778157,-0.6912052117263844,-0.6408284023668639,-0.6053811659192825,-0.5660267597440373,Republican
DOOLY COUNTY,GA,21.1,12.1,77.7,7.0,47.7,42.1,5020,2.47,37340,22716,4.1,391.94,5.9,86.9,45.4,11208,14918,38.1,739,346,364,410,306,69,644,Dooly County,13093.0,4105,3859,4298,4160,3844,3520,-0.0604141291108404,-0.0204716247732573,0.0697999069334573,0.0353365384615383,0.0312174817898022,0.0889204545454545,Republican
DOOR COUNTY,WI,30.5,33.7,94.4,3.5,96.4,93.3,13191,2.06,61560,38744,3.0,481.98,4.3,89.2,50.5,30066,27785,57.6,4309,1195,2183,60,4034,553,3352,Door County,55029.0,20117,17608,17671,17481,17491,15220,0.014515086742556,-0.0316901408450703,0.0699451078037462,0.1733310451347177,-0.0310445371905551,-0.0821287779237844,Democrat
DORCHESTER COUNTY,MD,22.1,21.2,87.9,6.1,66.7,62.3,13183,2.39,52917,30293,3.9,540.77,6.3,87.1,52.5,32531,32618,60.3,2803,874,1549,504,2180,344,2323,Dorchester County,24019.0,15977,15225,15444,15274,13339,11392,-0.1193590786755961,-0.1423973727422003,-0.0465552965552965,-0.0822312426345423,-0.1791738511132769,-0.0539852528089888,Republican
DORCHESTER COUNTY,SC,14.5,28.2,89.7,5.8,68.6,63.9,55351,2.83,63080,29853,5.0,573.23,6.3,85.1,51.4,161540,136555,238.2,9713,3613,5220,2535,6923,1353,7874,Dorchester County,45035.0,77278,62567,56855,52405,41317,33641,-0.1046740340070913,-0.174724695126824,-0.1598100430920763,-0.1550042934834462,-0.2728416874410049,-0.2546297672482982,Republican
DOUGHERTY COUNTY,GA,16.5,21.4,83.4,3.1,26.3,24.3,34087,2.51,39584,22059,2.1,328.69,3.8,78.8,54.0,85790,94565,287.7,8753,4083,4014,5227,3133,1035,7318,Dougherty County,13095.0,35311,34087,37919,38846,33647,29064,0.3999603522981507,0.3836946636547658,0.3915187636804768,0.3497914843227102,0.1811157012512259,0.151458849435728,Democrat
DOUGLAS COUNTY,CO,12.4,58.0,98.1,9.1,89.5,81.3,120709,2.78,119730,53313,7.6,840.25,9.5,84.1,50.0,357978,285465,339.7,30974,10966,15633,3444,26276,3173,26099,Douglas County,8035.0,231605,187499,167781,151819,121200,86225,-0.0717471557177089,-0.1808862980602563,-0.2575559807129532,-0.1722314071361292,-0.3382013201320132,-0.3355291388808349,Republican
DOUGLAS COUNTY,GA,11.9,28.2,87.8,10.2,45.4,37.4,49187,2.89,63835,27743,8.9,200.07,12.2,85.4,52.6,144237,132403,661.8,12634,5095,6426,6416,5691,1356,10666,Douglas County,13097.0,69097,57738,55267,55083,42065,30964,0.2512120641996034,0.1071737850289237,0.0398067562921816,0.0183904289889802,-0.2341376441221918,-0.2496770443095207,Democrat
DOUGLAS COUNTY,IL,18.3,18.9,83.2,7.3,96.8,90.0,7613,2.55,56714,28139,3.6,416.67,16.6,88.8,50.3,19740,19980,48.0,1877,579,1036,54,1748,198,1550,Douglas County,17041.0,8738,8169,7897,8356,8540,8152,-0.4454108491645686,-0.4589301016036234,-0.3677345827529442,-0.2126615605552895,-0.3436768149882904,-0.1863346418056918,Republican
DOUGLAS COUNTY,KS,12.8,49.6,95.4,6.5,83.4,78.1,46936,2.38,59435,32281,7.1,455.87,10.2,73.3,50.2,118785,110826,243.1,10121,3530,4963,907,8708,665,8678,Douglas County,20045.0,59495,50087,48145,53398,50111,39838,0.3949743675939155,0.3295665541956995,0.2464638072489355,0.3084197910034084,0.1614415996487796,0.0297956724735177,Democrat
DOUGLAS COUNTY,MN,23.4,26.0,95.1,1.7,97.2,95.8,16663,2.22,63819,36535,1.3,637.3,2.1,87.7,50.0,39006,36009,56.5,4603,1043,2846,44,4377,488,3799,Douglas County,27041.0,24165,21785,20953,20918,20309,17205,-0.3282019449617214,-0.3552444342437456,-0.1542022622058894,-0.0948943493641839,-0.1759810921266433,-0.2010462074978203,Republican
DOUGLAS COUNTY,MO,24.9,10.8,82.1,1.8,96.1,94.6,5137,2.57,37425,21083,0.8,813.63,1.1,89.7,49.9,11578,13684,16.8,1175,258,630,31,1109,166,946,Douglas County,29067.0,7000,6666,6557,6712,6327,5281,-0.6974285714285714,-0.6753675367536753,-0.4482232728381882,-0.3374553039332539,-0.4357515410146989,-0.3887521302783563,Republican
DOUGLAS COUNTY,NE,13.4,39.7,90.6,12.9,80.0,68.8,218061,2.51,64629,35307,9.8,328.46,15.3,83.5,50.7,584526,517110,1574.4,47310,16203,24833,7426,37593,4610,39368,Douglas County,31055.0,274951,240433,223927,226701,207071,183156,0.1134420314892471,0.0237945706288238,-0.0302062725799033,0.0464003246567064,-0.1810152073443408,-0.1511170805215226,Democrat
DOUGLAS COUNTY,NV,29.7,29.4,93.2,13.2,91.6,80.2,20741,2.31,66810,38814,7.4,709.72,10.7,86.3,49.8,49488,46997,66.2,5616,1875,2838,535,4730,707,4526,Douglas County,32005.0,34117,27885,26075,25904,23898,17974,-0.2946624849781633,-0.3213555675094137,-0.2676510067114094,-0.15348980852378,-0.2894384467319441,-0.2979859797485257,Republican
DOUGLAS COUNTY,OR,26.3,17.3,89.6,6.1,92.6,87.5,45456,2.36,47267,26478,2.9,5036.08,4.0,83.5,50.7,111201,107667,21.4,7843,2321,3508,545,6808,776,6232,Douglas County,41019.0,64349,53521,49803,52937,54984,47220,-0.3751107243313804,-0.3827656433923133,-0.2736983715840411,-0.2006347167387649,-0.3249490760948639,-0.3409783989834815,Republican
DOUGLAS COUNTY,SD,24.0,15.5,88.5,2.0,95.1,93.7,1220,2.31,58684,30033,2.2,431.8,3.3,91.1,50.1,2835,3002,7.0,600,117,262,0,588,104,411,Douglas County,46043.0,1707,1605,1690,1735,2012,1709,-0.7334504979496193,-0.7003115264797508,-0.5928994082840237,-0.5008645533141209,-0.5979125248508946,-0.5547103569338795,Republican
DOUGLAS COUNTY,WA,18.2,20.5,82.1,32.3,92.9,63.4,15263,2.73,62951,30544,15.3,1819.26,29.2,87.4,49.4,42938,38431,21.1,2061,743,960,312,1638,156,1744,Douglas County,53017.0,21308,15543,14942,15209,13372,12851,-0.2414116763656842,-0.301421861931416,-0.2850354704858788,-0.2136892629364192,-0.3435536942865689,-0.3649521438020387,Republican
DOUGLAS COUNTY,WI,19.2,24.1,93.7,1.7,92.6,91.4,19011,2.22,53986,30153,2.3,1304.14,3.0,85.4,49.9,44295,44159,33.9,2764,765,1466,138,2504,276,2262,Douglas County,55031.0,24677,22511,22894,24066,25187,21706,0.0930015804190136,0.0748967171604993,0.3126583384292828,0.3322114185988531,0.3211577401040219,0.3069658159034368,Democrat
DREW COUNTY,AR,18.2,22.8,86.9,3.8,69.3,66.1,7157,2.43,46997,25543,1.2,828.36,2.8,86.0,51.3,17350,18509,22.3,1186,491,510,247,846,90,1001,Drew County,5043.0,6908,6595,6633,6610,6249,5922,-0.2783729009843659,-0.2430629264594389,-0.1895070104025327,-0.1909228441754917,-0.0496079372699632,0.0513340087808172,Republican
DUBOIS COUNTY,IN,17.9,23.7,89.3,8.7,97.0,89.2,16893,2.46,60666,30366,4.4,427.27,6.0,92.8,49.8,43637,41889,98.0,3555,1039,1830,125,3213,233,2910,Dubois County,18037.0,21770,19984,18542,18565,17066,15504,-0.4015158474965548,-0.399119295436349,-0.2767770467047783,-0.0419068138971183,-0.3818117895230283,-0.3253353973168215,Republican
DUBUQUE COUNTY,IA,18.3,30.8,92.7,2.6,92.5,90.3,38210,2.43,63031,32905,2.8,608.31,4.3,84.9,50.7,99266,93653,154.0,8333,2366,4386,361,7553,1082,6537,Dubuque County,19061.0,53926,49721,50894,47953,47043,40323,-0.0315432259021622,-0.0122684579956155,0.1471293276221165,0.2077033762225512,0.1373424313925557,0.1457976837040895,Republican
DUCHESNE COUNTY,UT,12.4,14.7,88.8,8.3,90.9,84.6,6868,2.88,63224,24573,3.2,3240.95,7.4,86.0,49.4,19596,18607,5.7,2313,518,998,90,2176,57,2130,Duchesne County,49013.0,8561,6942,6379,5744,5556,4546,-0.7789977806331037,-0.721405934889081,-0.8021633484872237,-0.6577298050139276,-0.7206623470122391,-0.6253849538055433,Republican
DUKES COUNTY,MA,25.1,44.9,94.8,3.9,89.8,86.9,6765,2.52,71811,45990,11.1,103.25,12.5,95.1,50.7,20600,16535,160.2,4641,1643,2505,440,4089,613,3878,Dukes County,25007.0,12873,11502,10968,10553,9997,8856,0.565757787617494,0.5149539210572074,0.4728300510576222,0.5184307779778262,0.4664399319795938,0.3567073170731707,Democrat
DUNDY COUNTY,NE,26.2,23.3,83.1,7.4,95.6,89.4,872,2.14,41716,25479,6.6,919.68,12.2,81.8,50.1,1654,2008,2.2,189,0,112,0,158,0,151,Dundy County,31057.0,999,953,985,1019,1053,1011,-0.7787787787787788,-0.770199370409234,-0.6253807106598985,-0.5544651619234544,-0.6381766381766382,-0.6152324431256182,Republican
DUNKLIN COUNTY,MO,18.8,13.8,76.3,7.0,85.9,79.5,12342,2.37,36380,21801,3.1,541.07,7.6,80.9,52.1,28283,31953,59.1,2592,818,1218,366,1999,207,2061,Dunklin County,29069.0,10419,10578,10651,11764,11677,10525,-0.5696324023418754,-0.5356400075628663,-0.3017557036897943,-0.2128527711662699,-0.1557763124090091,-0.0455106888361045,Republican
DUNN COUNTY,ND,16.1,21.3,91.1,5.6,84.2,80.2,1692,2.53,76719,42691,2.3,2008.46,8.1,87.7,46.4,4095,3536,1.8,401,73,241,38,348,68,317,Dunn County,38025.0,2338,2243,2034,1644,1774,1728,-0.6881950384944397,-0.6299598751671868,-0.4906588003933136,-0.3363746958637469,-0.3421645997745208,-0.3761574074074073,Republican
DUNN COUNTY,WI,16.1,27.9,93.7,2.1,94.1,92.4,16859,2.44,58783,28034,3.1,850.11,5.2,81.0,49.8,45440,43857,51.6,3256,1009,1777,129,2954,282,2716,Dunn County,55033.0,23524,22091,21992,22989,23172,19330,-0.1392620302669614,-0.1114481010366212,0.0496544197890141,0.1494627865500891,0.050060417745555,0.013502327987584,Republican
DUPAGE COUNTY,IL,16.1,49.4,93.0,14.6,79.5,66.0,342791,2.67,92809,46272,19.1,327.5,27.5,88.1,50.8,932877,916924,2799.8,98579,31321,56343,19026,75928,6395,87812,DuPage County,17043.0,485104,428769,401079,417973,402446,364362,0.1806025099772419,0.1450827835034716,0.01100531316773,0.1078347165965265,-0.0964228741247272,-0.1330737014287988,Democrat
DUPLIN COUNTY,NC,19.4,12.1,76.0,23.0,70.4,51.0,21466,2.73,41764,20254,12.2,816.22,21.3,86.7,51.2,48715,58505,71.7,3486,1127,2041,997,2392,387,2967,Duplin County,37061.0,22715,20856,20592,19904,16583,14390,-0.2212634822804314,-0.188626774069812,-0.1157245532245532,-0.0942524115755627,-0.1620937104263403,-0.0948575399583043,Republican
DURHAM COUNTY,NC,13.6,48.2,88.4,13.7,54.0,43.0,125953,2.36,60958,35398,14.2,285.98,18.6,80.2,52.3,324833,267587,935.7,24763,10338,11979,9077,14451,2226,21268,Durham County,37063.0,179914,156134,146735,136897,109651,84604,0.6237924786286781,0.5950017292838203,0.5278563396599312,0.5193904906608618,0.3639729687827744,0.2808023261311522,Democrat
DUTCHESS COUNTY,NY,18.1,35.0,91.1,12.9,81.0,70.7,108413,2.54,81219,40093,11.5,795.63,15.6,88.8,50.3,295911,297488,373.9,24210,8193,13505,3733,19633,1706,21237,Dutchess County,36027.0,151889,130934,123705,132254,123881,111762,0.0959318976357735,0.0035437701437365,0.1115476334828826,0.0864397296112026,-0.0225216134839079,-0.002496376228056,Democrat
DUVAL COUNTY,FL,14.5,30.0,89.8,10.5,60.6,52.0,359544,2.55,55807,31327,11.1,762.19,14.6,81.0,51.5,995567,864263,1133.9,75875,30367,37118,27928,44999,7754,63792,Duval County,12031.0,492820,432695,411848,415761,381061,264636,0.0381356276125157,-0.0137926252903315,-0.0361249781472776,-0.019047000560418,-0.1616014233941547,-0.1671503499145997,Democrat
DUVAL COUNTY,TX,18.2,9.0,68.6,89.3,96.4,8.8,3511,3.06,41186,17637,5.4,1793.48,56.8,81.5,48.8,9831,11782,6.6,843,369,408,625,188,35,742,Duval County,48131.0,5053,4168,4344,4409,4091,5030,0.0261230951909756,0.3519673704414587,0.5412062615101288,0.5039691540031754,0.4292349058909802,0.5924453280318092,Democrat
DYER COUNTY,TN,17.9,16.1,83.9,3.6,82.5,79.5,15120,2.44,44185,27710,1.9,512.33,3.4,84.3,51.8,36801,38335,74.8,3530,1304,1770,525,2872,280,3037,Dyer County,47045.0,15079,13336,13800,14450,13809,11841,-0.5709927714039392,-0.5521895620875825,-0.4466666666666667,-0.3770242214532871,-0.2288362662032008,-0.0723756439489908,Republican
EAGLE COUNTY,CO,12.4,47.2,88.3,29.7,94.5,67.0,18171,3.0,84790,44391,17.5,1684.53,28.8,85.1,47.2,55731,52197,31.0,9302,2584,5483,817,8007,738,8017,Eagle County,8037.0,29140,25223,22668,21652,18511,15188,0.2984214138641043,0.20255322523094,0.1491529910005293,0.2312950304821725,0.0654205607476635,-0.0258756913352646,Democrat
EARLY COUNTY,GA,19.3,15.1,80.4,2.3,46.0,44.2,4074,2.5,30640,19026,1.3,512.59,0.8,92.0,53.4,10854,11008,21.5,849,324,433,310,511,83,719,Early County,13099.0,5187,4785,5353,5335,4213,3585,-0.0549450549450549,-0.0802507836990595,0.0388567158602653,-0.0202436738519212,-0.1884642772371231,-0.0881450488145049,Republican
EAST BATON ROUGE PARISH,LA,14.6,34.9,90.5,4.4,47.6,44.0,164346,2.64,54948,32431,5.7,455.37,8.3,83.5,52.3,456781,440171,966.6,45760,17880,22992,19537,24625,4637,38930,East Baton Rouge Parish,22033.0,208182,196491,198171,197349,183642,168989,0.1304483576870238,0.0924622501793974,0.0522982676577298,0.0215962584051604,-0.0960836845601768,-0.0746320766440419,Democrat
EAST CARROLL PARISH,LA,15.3,8.9,70.5,2.7,29.1,27.5,2037,2.17,22346,19483,0.4,420.7,2.3,72.8,45.7,7459,7759,18.4,433,141,257,236,173,57,354,East Carroll Parish,22035.0,3036,2939,4008,3559,3395,3245,0.2700922266139657,0.2650561415447431,0.2420159680638722,0.284630514189379,0.1835051546391752,0.1836671802773498,Democrat
EAST FELICIANA PARISH,LA,18.4,12.7,80.0,1.8,55.1,54.0,6959,2.24,51803,23612,0.9,453.41,2.8,89.5,45.4,19539,20267,44.7,1595,549,889,533,1012,127,1367,East Feliciana Parish,22037.0,10509,10042,10209,9947,9201,8099,-0.1697592539727852,-0.1328420633339972,-0.0733666372808306,-0.1054589323414094,-0.1010759700032604,-0.0223484380787751,Republican
EASTLAND COUNTY,TX,22.1,16.0,84.4,17.0,94.3,78.4,6492,2.66,37276,24548,4.6,926.49,12.9,86.0,50.0,17725,18583,20.1,1830,510,1024,199,1547,171,1480,Eastland County,48133.0,8293,6963,6495,6509,6857,6414,-0.7541299891474739,-0.7518311072813442,-0.6888375673595073,-0.5982485788907667,-0.5347819746244713,-0.4298409728718428,Republican
EATON COUNTY,MI,19.1,27.8,94.3,5.7,87.1,82.3,44480,2.42,64348,33427,4.0,575.18,6.7,85.4,50.9,109175,107759,187.3,8348,2630,4877,885,7135,1058,6833,Eaton County,26045.0,64327,56221,54788,57616,55755,49272,-0.0077572403500862,-0.0475089379413386,0.0313207271665328,0.0840391557900583,-0.078378620751502,-0.0323104400064945,Republican
EAU CLAIRE COUNTY,WI,16.2,32.3,94.1,2.7,91.7,89.6,40981,2.43,59476,30983,3.8,637.98,7.1,79.6,50.5,105710,98736,154.8,8046,2381,4428,264,7366,641,6824,Eau Claire County,55035.0,58275,54885,54806,55010,55437,47875,0.1077477477477478,0.0725699189213811,0.1352041747253949,0.2215415379021996,0.0976784458033443,0.0659425587467363,Democrat
ECHOLS COUNTY,GA,13.8,9.7,74.2,29.8,87.7,61.0,1561,2.55,39494,23885,6.1,414.89,21.1,93.1,48.2,3697,4034,9.7,204,51,116,58,143,27,151,Echols County,13101.0,1441,1182,1102,1187,991,898,-0.7557251908396947,-0.7199661590524535,-0.6751361161524501,-0.6571187868576243,-0.5307769929364279,-0.3808463251670378,Republican
ECTOR COUNTY,TX,9.6,15.4,76.0,62.6,90.1,30.4,52530,3.03,62973,28954,13.9,897.69,45.7,83.1,48.9,165171,137130,152.8,14829,4279,8746,6629,7448,1386,12464,Ector County,48135.0,44591,36530,32513,35606,36310,32901,-0.478347648628647,-0.4043525869148645,-0.4887890997447174,-0.47958209290569,-0.5211511980170752,-0.4093492599009148,Republican
EDDY COUNTY,ND,23.7,26.2,89.4,4.3,92.6,89.0,1062,2.08,54868,35639,0.3,630.17,3.9,86.8,50.8,2347,2385,3.8,268,48,164,0,242,0,236,Eddy County,38027.0,1261,1231,1157,1165,1213,1268,-0.3735130848532911,-0.3541835905767669,-0.1279170267934312,0.0300429184549356,-0.099752679307502,-0.1932176656151419,Republican
EDDY COUNTY,NM,14.6,16.2,84.4,50.5,92.7,45.3,21251,2.69,65328,30246,6.6,4175.73,19.8,86.4,49.4,62314,53829,12.9,3335,948,1597,931,2119,332,2630,Eddy County,35015.0,23222,19667,19269,20093,20270,17787,-0.5180432348634915,-0.4125692784868053,-0.3342674762572006,-0.2562583984472204,-0.3151455352738036,-0.1814246359700905,Republican
EDGAR COUNTY,IL,22.5,17.2,90.1,1.3,97.8,96.6,7542,2.26,53647,27797,0.8,623.37,1.0,86.1,51.0,16866,18576,29.8,1002,343,403,0,939,36,887,Edgar County,17045.0,8196,7873,7819,8255,8429,8232,-0.525378233284529,-0.489267115457894,-0.3283028520271134,-0.0793458509993943,-0.2568513465417013,-0.1964285714285715,Republican
EDGECOMBE COUNTY,NC,20.4,13.6,81.1,5.0,39.7,36.0,21151,2.46,36866,20626,2.2,505.34,4.6,91.9,53.8,48900,56552,111.9,3647,1402,1999,1705,1836,447,3006,Edgecombe County,37065.0,25477,24886,26972,25930,21079,18202,0.2701652470856066,0.3199791047175119,0.3620050422660537,0.345468569224836,0.2236348972911428,0.246071860235139,Democrat
EDGEFIELD COUNTY,SC,19.4,16.7,82.9,6.2,62.3,57.2,9176,2.64,49127,26228,4.3,500.41,5.7,88.9,46.4,25657,26985,53.9,1443,470,749,314,1020,184,1147,Edgefield County,45037.0,13304,11644,11586,11520,9746,8834,-0.2428592904389657,-0.2019065613191343,-0.133350595546349,-0.1092881944444444,-0.1600656679663451,-0.0916911931175005,Republican
EDMONSON COUNTY,KY,21.4,10.3,78.1,1.5,96.0,94.7,4885,2.41,43401,21802,0.2,302.88,1.3,85.4,49.4,12126,12161,40.2,1279,285,732,0,1248,54,1142,Edmonson County,21061.0,6131,5244,4668,5270,5481,4995,-0.5873430109280705,-0.6018306636155607,-0.3980291345329905,-0.3624288425047438,-0.3172778690020069,-0.3083083083083083,Republican
EDMUNDS COUNTY,SD,22.0,26.3,93.1,2.2,96.8,95.1,1544,2.46,71324,34628,1.3,1125.96,3.6,94.8,50.0,3986,4071,3.6,491,118,176,0,472,0,406,Edmunds County,46045.0,1985,1918,1936,2053,2234,1986,-0.5647355163727961,-0.5490093847758082,-0.3316115702479339,-0.1919142717973697,-0.2994628469113697,-0.2925478348439073,Republican
EDWARDS COUNTY,IL,21.9,13.9,92.0,1.4,97.3,96.4,2773,2.31,51080,28255,0.5,222.42,2.1,89.8,51.1,6245,6721,30.2,448,200,223,0,418,91,334,Edwards County,17047.0,3366,3347,3228,3350,3364,3260,-0.6966726084373143,-0.700328652524649,-0.5114622057001239,-0.2976119402985074,-0.4405469678953626,-0.3785276073619631,Republican
EDWARDS COUNTY,KS,21.7,18.1,85.4,21.1,93.1,75.0,1308,2.12,50902,27431,9.0,621.89,19.4,95.3,48.7,2907,3037,4.9,244,87,123,0,214,0,216,Edwards County,20047.0,1431,1319,1385,1357,1496,1563,-0.6079664570230607,-0.6254738438210765,-0.5494584837545127,-0.4878408253500368,-0.4665775401069519,-0.3934740882917466,Republican
EDWARDS COUNTY,TX,29.0,18.2,72.1,55.3,94.6,42.3,789,2.42,40766,24689,5.9,2117.86,43.0,92.9,47.0,1422,2002,0.9,293,85,130,151,117,0,266,Edwards County,48137.0,1066,1073,884,1035,963,937,-0.6801125703564728,-0.412861136999068,-0.4638009049773755,-0.3159420289855073,-0.5482866043613708,-0.4290288153681963,Republican
EFFINGHAM COUNTY,GA,11.9,20.0,88.3,4.9,81.9,77.7,21172,2.84,66822,31704,3.2,477.7,4.7,89.1,50.4,64769,52250,109.4,3748,1488,1838,539,3108,708,2829,Effingham County,13103.0,31570,23458,20816,20316,16167,10650,-0.4953436807095344,-0.5550771591781055,-0.5115776325903152,-0.5066942311478638,-0.5498855693697038,-0.3844131455399061,Republican
EFFINGHAM COUNTY,IL,17.9,22.7,93.1,2.3,97.5,95.6,13877,2.43,56685,31665,2.2,478.78,3.7,86.8,50.1,34668,34242,71.5,3439,893,1949,87,3212,173,2932,Effingham County,17049.0,19049,17609,16613,16835,16278,14485,-0.5926820305527849,-0.5992390254983246,-0.5200746403419009,-0.3600237600237599,-0.4537412458532989,-0.3886779426993441,Republican
EL DORADO COUNTY,CA,21.9,34.3,93.4,13.2,88.6,77.2,70974,2.63,83377,42749,9.2,1707.88,12.2,85.2,50.1,191185,181058,106.0,16711,5445,8514,2340,13840,1659,14367,El Dorado County,6017.0,116159,93591,88774,92926,86278,72136,-0.0879570244234196,-0.137224733147418,-0.1780588911167684,-0.1052988399371543,-0.2391803240687081,-0.219377287346124,Republican
EL PASO COUNTY,CO,13.2,38.5,94.2,17.7,83.3,68.6,257507,2.65,68779,33728,7.0,2126.8,11.9,78.0,49.5,730395,622263,292.6,54247,20043,26903,8463,43351,6593,44012,El Paso County,8041.0,378851,318967,290175,273175,241786,200757,-0.107923695595366,-0.2232770161176547,-0.203783923494443,-0.1882273268051615,-0.3462276558609679,-0.3312213272762594,Republican
EL PASO COUNTY,TX,12.5,23.3,78.5,82.9,91.8,11.6,268310,3.06,46871,21683,24.1,1012.69,70.6,84.8,50.6,865657,800647,790.6,67321,26471,35681,54163,10989,4871,60209,El Paso County,48141.0,266729,214008,172412,185233,169573,145042,0.351649052034087,0.4314371425367276,0.3236549660116465,0.3252012330416286,0.1290358724561103,0.1811475296810579,Democrat
